name	crm_2014	crm_2017	crm_2020	crm_2023
Aluminium	0	0	0	1
Antimony	1	1	1	1
Arsenic	0	0	0	1
Bauxite	0	0	1	1
Baryte	0	1	1	1
Beryllium	1	1	1	1
Bismuth	0	1	1	1
Borate	1	1	1	1
Boron	0	0	0	1
Chromium	1	0	0	0
Cobalt	1	1	1	1
Copper	0	0	0	1
Coking coal	1	1	1	1
Feldspar	0	0	0	1
Fluorspar	1	1	1	1
Gallium	1	1	1	1
Germanium	1	1	1	1
Graphite	1	1	1	1
Hafnium	0	1	1	1
Helium	0	1	0	1
Indium	1	1	1	1
Lithium	0	0	1	1
Magnesite	1	0	0	0
Magnesium	1	1	1	1
Manganese	0	0	0	1
Natural rubber	0	1	1	0
Nickel	0	0	0	1
Niobium	1	1	1	1
Platinum group metals	1	1	1	1
Platinum	2	2	2	2
Palladium	3	3	3	3
Rhodium	4	4	4	4
Ruthenium	5	5	5	5
Iridium	6	6	6	6
Osmium	7	7	7	7
Phosphate rock	1	1	1	1
Phosphorus	0	1	1	1
Scandium	0	1	1	1
Silicon	1	1	1	1
Strontium	0	0	1	1
Tantalum	0	1	1	1
Titanium	0	0	1	1
Light rare earth	1	1	1	1
Lanthanum	1	1	1	1
Cerium	1	1	1	1
Praseodymium	1	1	1	1
Neodymium	1	1	1	1
Promethium	1	1	1	1
Samarium	1	1	1	1
Europium	1	1	1	1
Heavy rare earth	1	1	1	0
Gadolinium	1	1	1	0
Terbium	1	1	1	0
Dysprosium	1	1	1	0
Holmium	1	1	1	0
Erbium	1	1	1	0
Thulium	1	1	1	0
Ytterbium	1	1	1	0
Lutetium	1	1	1	0
Yttrium	1	1	1	0
