atomic_mass;code;name;density;abundance (mg/kg);price (USD/kg);price_year;price_source;price_comment;Crm_2023;Crm_2020;Crm_2017;Crm_2014;Crm_2011
1;H;Hydrogen;0.00008988;1400 (3.878×1019 kg);1.39;2012;DOE Hydrogen[8];"Prices of hydrogen produced by distributed steam methane reforming, as predicted by H2A Production Model from United States Department of Energy,[9] assuming price of natural gas of US$3/MMBtu (US$10/MWh; US$0.10/m3). Does not include cost of storage and distribution.";;;;;
2;He;Helium;0.0001785;0.008 (2.216×1014 kg);24;2018;USGS MCS[14];Crude helium sold to non-government users in United States in 2018. In the same year, stockpiles of US government helium were sold on auctions for average price of US$0.00989/L.[15];;;;;
3;Li;Lithium;0.534;20 (5.54×1017 kg);81.4–85.6;2020;SMM[16][d];Min. 99% pure.;;;;;
4;Be;Beryllium;1.85;2.8 (7.756×1016 kg);857;2020;ISE 2020[17][e];Min. 99% pure.;;;;;
5;B;Boron;2.34;10 (2.77×1017 kg);3.68;2019;CEIC Data[18][f];In the form of boric acid, price per boron contained. Min. 99% pure.;;;;;
6;C;Carbon;2.267;200 (5.54×1018 kg);0.122;2018;EIA Coal[19];In the form of anthracite, price per carbon contained, assuming 90% carbon content. There is a wide variation of price of carbon depending on its form. Lower ranks of coal can be less expensive, for example sub-bituminous coal can cost around US$0.038/kg carbon.[19] Graphite flakes can cost around US$0.9/kg carbon.[20] Price of synthetic industrial diamond for grinding and polishing can range from 1200 to 13300 USD/kg, while cost per weight of large synthetic diamonds for industrial applications can be on the order of million dollars per kilogram.[21];;;;;
7;N;Nitrogen;0.0012506;19 (5.263×1017 kg);0.14;2001;Hypertextbook[24];As liquid nitrogen.;;;;;
8;O;Oxygen;0.001429;461000 (1.277×1022 kg);0.154;2001;Hypertextbook[24];As liquid oxygen.;;;;;
9;F;Fluorine;0.001696;585 (1.62×1019 kg);1.84–2.16;2017;Echemi[25];In the form of anhydrous hydrofluoric acid, price per fluorine contained. Range of prices on Chinese market, week of 1–7 December 2017.;;;;;
10;Ne;Neon;0.0008999;0.005 (1.385×1014 kg);240;1999;Ullmann[26];Approximate European price for buying small quantities.;;;;;
11;Na;Sodium;0.971;23600 (6.537×1020 kg);2.57–3.43;2020;SMM[27][d];Min 99.7% pure industrial grade sodium.;;;;;
12;Mg;Magnesium;1.738;23300 (6.454×1020 kg);2.32;2019;Preismonitor[20][g];Min 99.9% pure.;;;;;
13;Al;Aluminium;2.698;82300 (2.28×1021 kg);1.79;2019;Preismonitor[20][g];High-grade primary aluminium, at London Metal Exchange warehouse.;;;;;
14;Si;Silicon;2.3296;282000 (7.811×1021 kg);1.7;2019;Preismonitor[20][g];Min. 99.1% pure, max. 0.4% iron, 0.4% aluminium, 0.1% calcium.[28] 10–100 mm.;;;;;
15;P;Phosphorus;1.82;1050 (2.909×1019 kg);2.69;2019;CEIC Data[18][f];Min. 99.9% pure yellow phosphorus.;;;;;
16;S;Sulfur;2.067;350 (9.695×1018 kg);0.0926;2019;CEIC Data[18][f];;;;;;
17;Cl;Chlorine;0.003214;145 (4.075×1018 kg);0.082;2013;CnAgri[29];As chlorine is manufactured together with sodium hydroxide in chloralkali process, relative demand for one product changes the price for the other. When demand for sodium hydroxide is relatively high, chlorine price can fall to arbitrarily low levels, even to zero.[30];;;;;
18;Ar;Argon;0.0017837;3.5 (9.695×1016 kg);0.931;2019;UNLV[31];Liquid argon supply contract for University of Nevada, Las Vegas.;;;;;
19;K;Potassium;0.862;20900 (5.789×1020 kg);12.1–13.6;2020;SMM[32][d];Min 98.5% pure industrial grade potassium.;;;;;
20;Ca;Calcium;1.54;41500 (1.15×1021 kg);2.21–2.35;2020;SMM[33][d];Blocks of 98.5% pure calcium obtained by reduction process.;;;;;
21;Sc;Scandium;2.989;22 (6.094×1017 kg);3460;2020;ISE 2020[34][h];Min. 99.99% pure.;;;;;
22;Ti;Titanium;4.54;5650 (1.565×1020 kg);11.1–11.7;2020;SMM[35][d];Min. 99.6% pure titanium sponge.;;;;;
23;V;Vanadium;6.11;120 (3.324×1018 kg);357–385;2020;SMM[36][d];Min. 99.5% pure.;;;;;
24;Cr;Chromium;7.15;102 (2.825×1018 kg);9.4;2019;Preismonitor[20][g];Min. 99.2% pure.;;;;;
25;Mn;Manganese;7.44;950 (2.632×1019 kg);1.82;2019;Preismonitor[20][g];Electrolytic manganese, min. 99.7% pure.;;;;;
26;Fe;Iron;7.874;56300 (1.565×1021 kg);0.424;2020;SMM[37][d];L8-10 pig iron. At Tangshan, China.;;;;;
27;Co;Cobalt;8.86;25 (6.925×1017 kg);32.8;2019;Preismonitor[20][g];Spot price. Min. 99.8% pure. At London Metal Exchange warehouse.;;;;;
28;Ni;Nickel;8.912;84 (2.327×1018 kg);13.9;2019;Preismonitor[20][g];Primary nickel. Spot price. Min. 99.8% pure. At London Metal Exchange warehouse.;;;;;
29;Cu;Copper;8.96;60 (1.662×1018 kg);6;2019;Preismonitor[20][g];Spot price. Grade A.[38] At London Metal Exchange warehouse.;;;;;
30;Zn;Zinc;7.134;70 (1.939×1018 kg);2.55;2019;Preismonitor[20][g];Min. 99.995% pure special high grade zinc metal. Spot price. At London Metal Exchange warehouse.;;;;;
31;Ga;Gallium;5.907;19 (5.263×1017 kg);148;2019;Preismonitor[20][g];Min. 99.99% pure. Free on Board China.;;;;;
32;Ge;Germanium;5.323;1.5 (4.155×1016 kg);914–1010;2020;SMM[39][d];Ingot. 50 Ω/cm.;;;;;
33;As;Arsenic;5.776;1.8 (4.986×1016 kg);0.999–1.31;2020;SMM[40][d];Min. 99.5% pure.;;;;;
34;Se;Selenium;4.809;0.05 (1.385×1015 kg);21.4;2019;Preismonitor[20][g];Selenium powder, min. 99.9% pure.;;;;;
35;Br;Bromine;3.122;2.4 (6.648×1016 kg);4.39;2019;CEIC Data[18][f];;;;;;
36;Kr;Krypton;0.003733;1×10−4 (2.77×1012 kg);290;1999;Ullmann[26];Approximate European price for buying small quantities.;;;;;
37;Rb;Rubidium;1.532;90 (2.493×1018 kg);15500;2018;USGS MCS[14];100 g ampoules of 99.75% pure rubidium metal.;;;;;
