atomic_mass;code;name;density;abundance (mg/kg);price (USD/kg);price_year;price_source;price_comment
43;Tc;Technetium;11.5;~ 3×10−9[i] (8.31×107 kg);100000;2004[j];CRC Handbook[k];
93;Np;Neptunium;20.45;≤ 3×10−12[i] (8.31×104 kg);660000;2003[j];Pomona[66];Periodic Table published by Pomona College Chemistry Department lists neptunium-237 as available from Oak Ridge National Laboratory at 660 USD/g plus packing costs.
52;Te;Tellurium;6.232;0.001 (2.77×1013 kg);63.5;2019;Preismonitor[20][g];Min. 99.99% pure. Europe.
44;Ru;Ruthenium;12.37;0.001 (2.77×1013 kg);10000;2020;SMM[47][d];99.95% pure.
77;Ir;Iridium;22.56;0.001 (2.77×1013 kg);55000;2020;SMM[58][d];99.95% pure.
45;Rh;Rhodium;12.41;0.001 (2.77×1013 kg);147000;2019;Preismonitor[20][g];99.95% pure.
76;Os;Osmium;22.61;0.002 (5.54×1013 kg);12000;2016;Fastmarkets[m];
79;Au;Gold;19.282;0.004 (1.108×1014 kg);44800;2019;Preismonitor[20][g];99.9% pure. Morning London gold fix.
10;Ne;Neon;0.0008999;0.005 (1.385×1014 kg);240;1999;Ullmann[26];Approximate European price for buying small quantities.
78;Pt;Platinum;21.46;0.005 (1.385×1014 kg);27800;2019;Preismonitor[20][g];99.95% pure. London bullion market morning fix. In warehouse.
2;He;Helium;0.0001785;0.008 (2.216×1014 kg);24;2018;USGS MCS[14];Crude helium sold to non-government users in United States in 2018. In the same year, stockpiles of US government helium were sold on auctions for average price of US$0.00989/L.[15]
83;Bi;Bismuth;9.807;0.009 (2.493×1014 kg);6.36;2019;Preismonitor[20][g];Refined bismuth, min. 99.99% pure.
46;Pd;Palladium;12.02;0.015 (4.155×1014 kg);49500;2019;Preismonitor[20][g];99.95% pure. London bullion market afternoon fix. In warehouse.
34;Se;Selenium;4.809;0.05 (1.385×1015 kg);21.4;2019;Preismonitor[20][g];Selenium powder, min. 99.9% pure.
47;Ag;Silver;10.501;0.075 (2.0775×1015 kg);521;2019;Preismonitor[20][g];99.5% pure. Spot price. At London Metal Exchange warehouse.
80;Hg;Mercury;13.5336;0.085 (2.3545×1015 kg);30.2;2017;USGS MCS[14];Average European Union price of 99.99% pure mercury.
48;Cd;Cadmium;8.69;0.159 (4.4043×1015 kg);2.73;2019;Preismonitor[20][g];Ingot, min. 99.99% pure.
51;Sb;Antimony;6.685;0.2 (5.54×1015 kg);5.79;2019;Preismonitor[20][g];Ingot, min. 99.65% pure.
49;In;Indium;7.31;0.25 (6.925×1015 kg);167;2019;Preismonitor[20][g];Min. 99.99% pure.
53;I;Iodine;4.93;0.45 (1.2465×1016 kg);35;2019;Industrial Minerals[48];Min 99.5% pure. Spot market price on 2 August 2019.
69;Tm;Thulium;9.321;0.52 (1.4404×1016 kg);3000;2003;IMAR[54][l];Price quotes from Canadian producer, for 1 kg order. 99.5–99.99% purity, Free on Board Vancouver, Canada.
71;Lu;Lutetium;9.84;0.8 (2.216×1016 kg);643;2020;ISE 2020[34][h];Min. 99.99% pure.
81;Tl;Thallium;11.85;0.85 (2.3545×1016 kg);4200;2017;USGS MCS[14];
42;Mo;Molybdenum;10.22;1.2 (3.324×1016 kg);40.1;2019;Preismonitor[20][g];Min. 99.95% pure.
65;Tb;Terbium;8.229;1.2 (3.324×1016 kg);658;2019;Preismonitor[20][g];Min. 99% pure, Free on Board China.
74;W;Tungsten;19.25;1.3 (3.601×1016 kg);35.3;2019;Preismonitor[20][g];Powder, particle size 2–10 µm, 99.7% pure. Free on Board China.
67;Ho;Holmium;8.795;1.3 (3.601×1016 kg);57.1;2020;ISE 2020[34][h];Min. 99.5% pure.
32;Ge;Germanium;5.323;1.5 (4.155×1016 kg);950;2020;SMM[39][d];Ingot. 50 Ω/cm.
33;As;Arsenic;5.776;1.8 (4.986×1016 kg);1;2020;SMM[40][d];Min. 99.5% pure.
36;Kr;Krypton;0.003733;1×10−4 (2.77×1012 kg);290;1999;Ullmann[26];Approximate European price for buying small quantities.
5;B;Boron;2.34;10 (2.77×1017 kg);3.68;2019;CEIC Data[18][f];In the form of boric acid, price per boron contained. Min. 99% pure.
24;Cr;Chromium;7.15;102 (2.825×1018 kg);9.4;2019;Preismonitor[20][g];Min. 99.2% pure.
15;P;Phosphorus;1.82;1050 (2.909×1019 kg);2.69;2019;CEIC Data[18][f];Min. 99.9% pure yellow phosphorus.
23;V;Vanadium;6.11;120 (3.324×1018 kg);360;2020;SMM[36][d];Min. 99.5% pure.
82;Pb;Lead;11.342;14 (3.878×1017 kg);2;2019;Preismonitor[20][g];Min. 99.97% pure. Spot price. At London Metal Exchange warehouse.
1;H;Hydrogen;0.00008988;1400 (3.878×1019 kg);1.39;2012;DOE Hydrogen[8];"Prices of hydrogen produced by distributed steam methane reforming, as predicted by H2A Production Model from United States Department of Energy,[9] assuming price of natural gas of US$3/MMBtu (US$10/MWh; US$0.10/m3). Does not include cost of storage and distribution."
17;Cl;Chlorine;0.003214;145 (4.075×1018 kg);0.082;2013;CnAgri[29];As chlorine is manufactured together with sodium hydroxide in chloralkali process, relative demand for one product changes the price for the other. When demand for sodium hydroxide is relatively high, chlorine price can fall to arbitrarily low levels, even to zero.[30]
40;Zr;Zirconium;6.506;165 (4.571×1018 kg);360;2020;SMM[42][d];Zirconium sponge, min. 99% pure.
7;N;Nitrogen;0.0012506;19 (5.263×1017 kg);0.14;2001;Hypertextbook[24];As liquid nitrogen.
31;Ga;Gallium;5.907;19 (5.263×1017 kg);148;2019;Preismonitor[20][g];Min. 99.99% pure. Free on Board China.
63;Eu;Europium;5.243;2 (5.54×1016 kg);31.4;2020;ISE 2020[34][h];Min. 99.999% pure.
73;Ta;Tantalum;16.654;2 (5.54×1016 kg);300;2019;ISE 2019[41];Min. 99.95% pure. Ex Works China.
50;Sn;Tin;7.287;2.3 (6.371×1016 kg);18.7;2019;Preismonitor[20][g];Min. 99.85% pure. Spot price. At London Metal Exchange warehouse.
35;Br;Bromine;3.122;2.4 (6.648×1016 kg);4.39;2019;CEIC Data[18][f];
92;U;Uranium;18.95;2.7 (7.479×1016 kg);101;2018;EIA Uranium Marketing[65];Mainly as triuranium octoxide, price per uranium contained.
4;Be;Beryllium;1.85;2.8 (7.756×1016 kg);857;2020;ISE 2020[17][e];Min. 99% pure.
41;Nb;Niobium;8.57;20 (5.54×1017 kg);75;2020;SMM[43][d];Min. 99.9% pure.
3;Li;Lithium;0.534;20 (5.54×1017 kg);85;2020;SMM[16][d];Min. 99% pure.
6;C;Carbon;2.267;200 (5.54×1018 kg);0.122;2018;EIA Coal[19];In the form of anthracite, price per carbon contained, assuming 90% carbon content. There is a wide variation of price of carbon depending on its form. Lower ranks of coal can be less expensive, for example sub-bituminous coal can cost around US$0.038/kg carbon.[19] Graphite flakes can cost around US$0.9/kg carbon.[20] Price of synthetic industrial diamond for grinding and polishing can range from 1200 to 13300 USD/kg, while cost per weight of large synthetic diamonds for industrial applications can be on the order of million dollars per kilogram.[21]
19;K;Potassium;0.862;20900 (5.789×1020 kg);12;2020;SMM[32][d];Min 98.5% pure industrial grade potassium.
21;Sc;Scandium;2.989;22 (6.094×1017 kg);3460;2020;ISE 2020[34][h];Min. 99.99% pure.
12;Mg;Magnesium;1.738;23300 (6.454×1020 kg);2.32;2019;Preismonitor[20][g];Min 99.9% pure.
11;Na;Sodium;0.971;23600 (6.537×1020 kg);2.8;2020;SMM[27][d];Min 99.7% pure industrial grade sodium.
27;Co;Cobalt;8.86;25 (6.925×1017 kg);32.8;2019;Preismonitor[20][g];Spot price. Min. 99.8% pure. At London Metal Exchange warehouse.
14;Si;Silicon;2.3296;282000 (7.811×1021 kg);1.7;2019;Preismonitor[20][g];Min. 99.1% pure, max. 0.4% iron, 0.4% aluminium, 0.1% calcium.[28] 10–100 mm.
72;Hf;Hafnium;13.31;3 (8.31×1016 kg);900;2017;USGS MCS[14];Unwrought hafnium.
70;Yb;Ytterbium;6.965;3.2 (8.864×1016 kg);17.1;2020;ISE 2020[34][h];Min. 99.99% pure.
18;Ar;Argon;0.0017837;3.5 (9.695×1016 kg);0.931;2019;UNLV[31];Liquid argon supply contract for University of Nevada, Las Vegas.
68;Er;Erbium;9.066;3.5 (9.695×1016 kg);26.4;2020;ISE 2020[34][h];Min. 99.5% pure.
39;Y;Yttrium;4.469;33 (9.141×1017 kg);31;2019;Preismonitor[20][g];Min. 99% pure, Free on Board China.
16;S;Sulfur;2.067;350 (9.695×1018 kg);0.0926;2019;CEIC Data[18][f];
60;Nd;Neodymium;7.007;41.5 (1.14955×1018 kg);57.5;2019;Preismonitor[20][g];Min. 99% pure, Free on Board China.
20;Ca;Calcium;1.54;41500 (1.15×1021 kg);2.2;2020;SMM[33][d];Blocks of 98.5% pure calcium obtained by reduction process.
8;O;Oxygen;0.001429;461000 (1.277×1022 kg);0.154;2001;Hypertextbook[24];As liquid oxygen.
66;Dy;Dysprosium;8.55;5.2 (1.4404×1017 kg);307;2019;Preismonitor[20][g];Min. 99% pure, Free on Board China.
26;Fe;Iron;7.874;56300 (1.565×1021 kg);0.424;2020;SMM[37][d];L8-10 pig iron. At Tangshan, China.
22;Ti;Titanium;4.54;5650 (1.565×1020 kg);11;2020;SMM[35][d];Min. 99.6% pure titanium sponge.
9;F;Fluorine;0.001696;585 (1.62×1019 kg);2;2017;Echemi[25];In the form of anhydrous hydrofluoric acid, price per fluorine contained. Range of prices on Chinese market, week of 1–7 December 2017.
64;Gd;Gadolinium;7.895;6.2 (1.7174×1017 kg);28.6;2020;ISE 2020[34][h];Min. 99.5% pure.
29;Cu;Copper;8.96;60 (1.662×1018 kg);6;2019;Preismonitor[20][g];Spot price. Grade A.[38] At London Metal Exchange warehouse.
62;Sm;Samarium;7.52;7.05 (1.95285×1017 kg);13.9;2019;Preismonitor[20][g];Min. 99% pure, Free on Board China.
75;Re;Rhenium;21.02;7×10−4 (1.939×1013 kg);3500;2020;SMM[55][d];99.99% pure.
30;Zn;Zinc;7.134;70 (1.939×1018 kg);2.55;2019;Preismonitor[20][g];Min. 99.995% pure special high grade zinc metal. Spot price. At London Metal Exchange warehouse.
13;Al;Aluminium;2.698;82300 (2.28×1021 kg);1.79;2019;Preismonitor[20][g];High-grade primary aluminium, at London Metal Exchange warehouse.
28;Ni;Nickel;8.912;84 (2.327×1018 kg);13.9;2019;Preismonitor[20][g];Primary nickel. Spot price. Min. 99.8% pure. At London Metal Exchange warehouse.
59;Pr;Praseodymium;6.773;9.2 (2.5484×1017 kg);103;2019;Preismonitor[20][g];Min. 99% pure, Free on Board China.
90;Th;Thorium;11.72;9.6 (2.6592×1017 kg);287;2010;USGS MYB 2012[63];As 99.9% pure thorium oxide, price per thorium contained. Free on Board port of entry, duty paid.
37;Rb;Rubidium;1.532;90 (2.493×1018 kg);15500;2018;USGS MCS[14];100 g ampoules of 99.75% pure rubidium metal.
25;Mn;Manganese;7.44;950 (2.632×1019 kg);1.82;2019;Preismonitor[20][g];Electrolytic manganese, min. 99.7% pure.
