name,reference product,ISIC_name,ISIC,CPC_name,CPC,prod_category,prod_sub_category,code,activity type,location,production amount,unit,priority
"market for epoxy resin, liquid","epoxy resin, liquid",Manufacture of basic chemicals,2011," Polyacetals, other polyethers and epoxide resins, in primary forms; polycarbonates, alkyd resins, polyallyl es[…]",34740,PlastRub,Plastics & rubber products,78e4f1e00d37d151b066edb011773c6b,market activity,RER,1.0,kilogram,1.0
"market for biomethane, high pressure, vehicle grade","biomethane, high pressure, vehicle grade",Manufacture of gas; distribution of gaseous fuels through mains,3520," Coal gas, water gas, producer gas and similar gases, other than petroleum gases and other gaseous hydrocarbons",17200,OreMinFuel,"Ores, minerals & fuels",b1a467b948e03da513730fedd0f6ce8b,market activity,CH,1.0,kilogram,1.0
"grass seed production, Swiss integrated production, for sowing","grass seed, Swiss integrated production, for sowing",Seed processing for propagation,0164, Beet seeds (excluding sugar beet seeds) and seeds of forage plants,1940,AgriForeAnim,Agricultural and forestry products,ad2cf7736edd806695b0deb925584bd8,ordinary transforming activity,CH,1.0,kilogram,1.0
basic oxygen furnace secondary metallurgy slag to market for basic oxygen furnace secondary metallurgy slag for recovery,basic oxygen furnace secondary metallurgy slag,Treatment and disposal of non-hazardous waste,3821," Slag, dross, scalings and other waste from the manufacture of iron or steel",39310,WasteTreatment,Waste treatment & disposal,e6b6200cf650cfe9382160e4ffb24dc3,ordinary transforming activity,RER,-1.0,kilogram,1.0
"treatment of waste concrete gravel, collection for final disposal",waste concrete gravel,Treatment and disposal of non-hazardous waste,3821, Wastes or scraps,39000,WasteTreatment,Waste treatment & disposal,68393257172821af6cd2eba743c6622e,ordinary transforming activity,CH,-1.0,kilogram,1.0
"biomethane, low pressure burned in polymer electrolyte membrane fuel cell 2kWe, future","electricity, low voltage","Electricity, gas, steam and air conditioning supply",35, Electrical energy,17100,OreMinFuel,"Ores, minerals & fuels",cccfb45759fe37db6659f230e83f6451,ordinary transforming activity,CH,1.0,kilowatt hour,1.0
"electricity production, wind, <1MW turbine, onshore, renewable energy products","electricity, high voltage, renewable energy products","Electric power generation, transmission and distribution",3510, Electrical energy,17100,OreMinFuel,"Ores, minerals & fuels",7e19e0b1d74541a30a614425c10a6a71,ordinary transforming activity,CH,1.0,kilowatt hour,1.0
"blower and heat exchange unit production, KWLC 1200","blower and heat exchange unit, KWLC 1200",Manufacture of other general-purpose machinery,2819, Producer gas or water gas generators; acetylene gas generators and similar water process gas generators; disti[…],43911,MachElecTrans,Metal/electronic equipments and parts,3fdce8f28c476793dc2992f2e2869bab,ordinary transforming activity,RER,1.0,unit,1.0
"electricity, high voltage, import from ES","electricity, high voltage","Electric power generation, transmission and distribution",3510, Electrical energy,17100,OreMinFuel,"Ores, minerals & fuels",2a94bc210f47cd3172ae8d17aa8589a7,ordinary transforming activity,PT,1.0,kilowatt hour,1.0
manganese production,manganese,Manufacture of basic precious and other non-ferrous metals,2420," Bismuth, antimony, manganese, chromium and articles thereof; including waste and scrap of bismuth or manganese",41603,MetalAlloy,"Basic metals & alloys, their semi-finished products",b403e94a83d6133711cb3a49f3b02969,ordinary transforming activity,RER,1.0,kilogram,1.0
